CompetencyID,Category,Text,ReferenceCode,What this means,What it looks like,Why critical
CS04,Circular Saws,"Operate topper, facer and side dresser ","• Top and Side Grinding Procedures
BC Saw Filer Level 2, Section 6-4-2
• Tooth Geometry and Angle Setup
BC Saw Filer Level 2, Section 4-1-11
• Profile Inspection and Grinding Defects
BC Saw Filer Level 2, Section 6-4-3","These three machines are used to grind and shape the geometry of circular saw teeth:
•	The topper grinds the top (bevel) of the tooth
•	The facer shapes the front (hook) face
•	The side dresser adjusts tooth width and side clearance
Correct operation ensures the saw cuts straight, maintains proper kerf, and runs safely under full load. Misuse or poor setup leads to premature wear, vibration, and cutting defects.","• You mount the saw to the grinder:
•	Secure saw on correct arbor with flat and concentric mounting
•	Remove any wobble before grinding
•	Use proper spacers and clamps to align the saw perfectly
• On the topper, you:
•	Set the correct rake and bevel angles based on saw type and species
•	Use factory cam or adjustable cam profiles to match original tooth shape
•	Monitor wheel feed to remove consistent material (avoid under- or over-grind)
• On the facer, you:
•	Grind the tooth face at the correct hook angle, usually 0° to 15°
•	Ensure the wheel tracks square to the tooth body
•	Avoid creating notches or back grinding errors
• On the side dresser, you:
•	Dress both left and right flanks of the tooth, removing 0.002""–0.004"" per side
•	Maintain original tooth width and clearance
•	Use templates or micrometers to confirm uniformity
• During the process:
•	You ensure coolant flow is constant, and the wheels are dressed and balanced
•	You inspect teeth regularly with a magnifier and reference template
•	After sharpening, you check for:
o	Consistent profile
o	Smooth finish (no grinder burns)
o	Equal tooth height and projection","Incorrect grinding causes: • Irregular kerf and poor tracking
• Heat cracks or burned cutting edges
• Uneven cutting pressure, leading to blade wobble
• Shortened saw life and unsafe operation
Top, face, and side grinding define the saw’s performance. Accurate grinding preserves geometry, prevents saw failure, and ensures clean, efficient cutting under production conditions."
CS05,Circular Saws,Bench circular saws (level and tension) ,"• Leveling and Tensioning Principles
BC Saw Filer Level 1, Sections 6-3-1 to 6-4-2
• Drop Test and Tension Ring Evaluation
BC Saw Filer Level 1, Section 6-5-1
• Saw Plate Straightening
BC Saw Filer Level 3, Section 11-2-1","🔧 What this means:
Benching is the process of removing distortion (leveling) and introducing a controlled internal stress pattern (tensioning) to ensure the saw runs straight and stable at full operating speed. This is one of the most critical and skill-intensive tasks a filer performs.
You must be able to:
•	Identify and correct dish, humps, and ridges
•	Apply correct tension radius using hammers or stretcher rolls
•	Verify tension using proper gauges and techniques
•	Restore the saw’s ability to run flat at rest and true under RPM","• Leveling:
•	Place the saw on a certified leveling slab or plate
•	Use a straightedge and backlighting to detect bumps, humps, and dishing
•	Use a crowned leveling hammer and work in small overlapping strikes
•	Support the saw with the correct anvil radius and rotate between strikes to ensure uniformity
•	Check your progress frequently—stop when the plate is flat within 0.002"" or less 📚 BC Saw Filer Level 1, Section 6-3-1 to 6-4-2
• Tensioning:
•	Identify the correct tension radius, which depends on saw diameter, speed, and application
•	Apply tension using:
o	Tensioning hammer (for fine adjustment)
o	Stretcher roll (for large-scale tensioning)
•	Use a drop test or tension gauge to confirm proper stress pattern:
o	Tension ring should “drop” at the expected radius when lightly pressed with a back gauge
o	The ring must be concentric, not egg-shaped or offset
• Final checks:
•	Flex the saw manually and verify it returns to shape
•	Inspect for uncorrected dish or signs of overworked areas
•	Confirm saw is balanced and tensioned for speed and load","Improper benching leads to: • Wobbling and snaking saws
• Kerf collapse and tracking failure
• Premature saw failure or crack propagation
• Excessive heat buildup and vibration
• Dangerous saw instability at speed
A properly benched saw is safe, straight, and stable. This task defines the skill of a journeyperson filer and must be done with full attention to detail, patience, and precision."
CS06,Circular Saws,Operate and maintain saw shop equipment required for circular saw maintenance ,"• Saw Shop Equipment Operation and Maintenance
BC Saw Filer Level 1, Sections 6-1-1 to 6-1-4
• Grinder Setup and Coolant Use
BC Saw Filer Level 2, Section 4-1-11
• Welding and Torch Safety
BC Saw Filer Level 1, Section 9-5-4 to 9-5-5","Filing room equipment must be accurately calibrated, safely operated, and routinely maintained to ensure safe and consistent circular saw servicing. This includes:
•	Grinders (top, face, side)
•	Welders and torches
•	Hammers and anvils
•	Tension gauges, drop testers, and straightedges
•	Collaring tools and cleaning systems
You are responsible for operating and caring for all of these tools according to manufacturer instructions and shop SOPs.","• Before use:
•	Inspect power tools for proper guards, switches, and RPM compatibility
•	Check grinding wheel condition (ring test, face condition, and dressing)
•	Confirm coolant flow, mixture, and nozzle direction
• During use:
•	Use the correct flanges, mounts, and spacers for each saw and machine
•	Monitor for vibration, overheating, or chatter
•	Keep safety guards in place at all times—never bypass interlocks or covers
• After use:
•	Clean grinding stations and tension tools
•	Drain or refill coolant systems as needed
•	Store tools properly (e.g., hammers on hooks, gauges in foam-lined drawers)
• Regular maintenance includes:
•	Replacing worn belts, bearings, or grinding wheels
•	Lubricating sliding parts and adjusting set screws
•	Testing electrical systems and tagging out unsafe gear
•	Calibrating tension and drop gauges against known standards
• You record maintenance tasks in a shop log or checklist","Poorly maintained equipment leads to: • Inaccurate tensioning or grinding
• Safety hazards from electrical faults or mechanical failures
• Downtime due to tool unavailability or contamination
• Inconsistent saw quality across shifts
Your equipment is your responsibility. The quality of your saw work is directly tied to the condition of the tools you use."
BS01,Band Saws,Properly swage teeth or replace Stellite inserts ,"• Swaging and Shaping Procedures
BC Saw Filer Level 1, Sections 7-3-1 to 7-3-27
• Stellite Tip Removal and Welding
BC Saw Filer Level 2, Sections 6-2-3 to 6-4-1","Band saw teeth must be prepared with the correct cutting width and clearance to ensure straight cuts, stable tracking, and efficient chip removal. This is achieved by either swaging (cold-forming the tooth tip) or replacing Stellite inserts (hard-surfaced tips brazed to the saw).
Each method demands careful setup, accurate geometry, and clean finishing—done without overstressing the tooth or deforming the saw body.","For Swaged Teeth: • You identify the correct saw gauge and tooth spacing before setup
• Use a manual hand swage, air swage, or automatic swage/shaper depending on shop equipment
• Set the side die spacing based on species and saw gauge (refer to mill guidelines)
• Apply steady pressure (air swage set to 60–80 psi) to cold-form the tip outward
• Use the shaper to:
•	Restore radial clearance
•	Create tangential back taper
•	Refine kerf to specification (±0.002"")
For Stellite Inserts: • Inspect tip for wear: if it’s worn past 50% of height or chipped, it must be replaced
• Remove worn tip using a light oxy-acetylene torch:
•	Apply neutral flame
•	Use brass brush to sweep away silver solder
• Clean tip seat and prepare the surface for new insert
• Align insert to correct projection, square to gullet and saw back
• Re-weld using silver solder and neutral flame
• Inspect for alignment, overhang, and complete bond","• Improper swaging causes:
•	Overworked saws
•	Irregular kerf and tracking problems
•	Increased vibration and heat cracks
• Improper tipping causes:
•	Tooth ejection under load
•	Uneven side clearance and saw snaking
•	Burned tips that prematurely dull
Correctly prepared cutting teeth = safe sawing, efficient feed rates, and long saw life."
BS02,Band Saws,Check and maintain tooth alignment ,"• Tooth Alignment Procedures
BC Saw Filer Level 1, Section 7-2-6","Tooth alignment refers to the position, height, and angular accuracy of each tooth on the saw. Poor alignment results in:
•	Irregular cutting load
•	Saw vibration
•	Premature wear and uneven tooth grinding
As a filer, you must inspect, correct, and confirm alignment using gauges and hand tools—especially before tensioning or grinding.","• You use a tooth alignment gauge (with or without a dial indicator):
•	Place the gauge on the saw and advance tooth by tooth
•	Identify teeth that are bent, tipped forward/backward, or twisted
• For minor misalignment:
•	Use a set wrench to bend the tooth carefully back to neutral
•	Apply pressure slowly and deliberately—don’t overstress the root
• For major misalignment or spring-back:
•	Bend slightly past center to relieve stress
•	Re-check after a few teeth to ensure correction holds
• You inspect again after grinding or saw flipping:
•	Ensure no teeth shifted due to wheel pressure or saw stress
• Alignment must be done after leveling and before tensioning","• Misaligned teeth cause:
•	Vibration and snaking cuts
•	Uneven wear and gullet cracking
•	Poor tracking and reduced tension performance
• Ignoring this step can ruin all other setup work
Tooth alignment directly impacts saw performance, noise, feed rate, and safety. Precision here prevents cascading issues downstream."
BS03,Band Saws,Grind teeth to proper geometry and regrind gullets as required ,"• Tooth and Gullet Grinding
BC Saw Filer Level 1, Sections 7-4-15 to 7-4-18
• Sliver Tooth Grinding Techniques
BC Saw Filer Level 1, Sections 13-3-3 to 13-3-4","Band saw tooth geometry directly affects chip removal, feed rate, saw tracking, and cut quality. You are expected to restore worn or swaged teeth to their correct hook angle, gullet depth, and clearance geometry using the proper grinding wheels and techniques.
This task also includes regrinding gullets, which must be maintained to the correct shape and depth to prevent fatigue and cracking.","• You determine tooth form (e.g., straight, sliver, hooked) and select the correct:
•	Grinding cam profile
•	Tooth template or sample
•	Grinding wheel (CBN for Stellite; vitrified for swaged steel)
• You perform profile grinding or top-and-face grinding:
•	Profile grinding replicates the full tooth shape using a cam
•	Top-and-face grinding targets wear zones only
• You set angles according to saw design:
•	Hook angle, typically between 0° and 30°
•	Back clearance and face clearance verified with a protractor or template
• You maintain correct gullet shape:
•	Avoid flat-bottom gullets or undercutting the root
•	Use a gullet radius suitable for tooth pitch and species (larger gullets for frozen or knotty wood)
• You use light feeds and inspect for:
•	Burns or blue tint on tooth faces
•	Tooth length uniformity
•	Gullet symmetry across the saw
• You inspect after grinding using:
•	Magnifier or template overlay
•	Dial indicator if checking height consistency","Improper grinding leads to: • Uneven cutting pressure and saw drift
• Excessive gullet stress → cracks
• Loss of kerf or burn lines in lumber
• Shortened saw life due to chipped or deformed teeth
Correct geometry ensures:
•	Balanced cutting
•	Efficient chip flow
•	Safer operation under tension and feed pressure"
BS04,Band Saws,Repair weld teeth and cracks ,"• Crack Detection and Weld Procedure
BC Saw Filer Level 1, Sections 9-7-3 to 9-7-6
• Peening and Strain Relief
BC Saw Filer Level 3, Section 5-4-7
• Crack Inspection Tolerances
BC Saw Filer Level 1, Section 6-8-2","Tooth breakage and cracks in bandsaws must be repaired using proper welding, crack stop drilling, and post-weld stress relief. These repairs restore tooth integrity and prevent cracks from spreading across the plate.
You must know how to identify weldable vs. scrap damage, prepare and weld properly, and peen or grind the area to restore balance and safety.","• You inspect damaged areas using:
•	Backlighting or flashlight
•	Magnifier for surface fractures
•	Dye penetrant for hairline cracks
• For minor cracks:
•	Drill a stress relief hole at the end of the crack
•	Bevel crack edges slightly for weld penetration
•	Weld using:
o	MIG or TIG for steel
o	Oxy-acetylene for fine control on thin plates
• For tooth repairs:
•	Remove fractured or deformed tooth material
•	Weld a build-up that matches the original tooth profile
•	Regrind to match tooth geometry
• After welding:
•	Peen the repair using a small crowned hammer to relieve stress
•	Grind flush to plate or tooth face
•	Inspect for porosity, pits, or incomplete fusion
•	Level and tension the area before saw goes back into service","Unrepaired or poorly welded cracks: • Spread quickly under feed strain and heat
• Lead to catastrophic failure (snapping or exploding blades)
• Cause inconsistent tension and poor cut quality
Weld repairs extend saw life, reduce replacement costs, and prevent safety incidents—but only when done with precision and stress control.
"
BS05,Band Saws,Explain and demonstrate proper leveling of band saw ,"• Leveling Techniques and Inspection
BC Saw Filer Level 1, Section 13-1-1
• Back Maintenance and Plate Prep
BC Saw Filer Level 1, Section 13-1-2","Leveling is the process of removing twist, humps, dish, and other distortions from a bandsaw plate to restore flatness. This is a foundational benching skill and must be performed before any tensioning. A perfectly leveled saw ensures that the blade runs quietly, tracks properly, and doesn’t develop cracks or heat stress under speed.
Leveling requires the ability to detect surface irregularities under 0.002"" and correct them using proper hammer technique and anvil setup.","• You place the saw on a certified leveling slab:
•	Plate must be clean and free of oil, chips, or pitch
•	You verify that slab surface is dead-flat using a calibrated straightedge
• You use a bright inspection light and a straightedge to:
•	Detect high spots, ridges, twist, and dish
•	Sweep multiple zones: edge, gullet line, mid-body, and back
📚 BC Saw Filer Level 1, Section 13-1-1
• You select the correct crowned leveling hammer:
•	Light hammer for fine work
•	Heavier hammer for severe dish or warp
• While leveling:
•	You always strike across the long axis of the bump or ridge
•	Support the saw with the appropriate anvil crown radius
•	Work in small overlapping zones, rotating the saw as needed
•	You frequently re-check with straightedge to prevent overworking
• You avoid hammering:
•	In the gullet area
•	Near welds or stress-relieved zones
•	On saws not yet back side aligned or with cracked teeth
• Once flatness is restored:
•	You confirm the plate is within 0.002"" total deviation across all regions
•	You do not proceed to tensioning until leveling is verified","Unleveled saws: • Wander during the cut
• Generate heat at guides
• Fail tension tests and lead to gullet cracking
• Produce poor lumber quality and cause guide wear
Leveling is the foundation of all saw performance. Even the best-tensioned saw will fail if it hasn't been leveled correctly first."
BS06,Band Saws,Explain and demonstrate proper tensioning of band saws ,"• Tension Gauge Technique and Tension Location
BC Saw Filer Level 1, Sections 13-4-1 to 13-4-3
• Tire Line Identification and Strain Compensation
BC Saw Filer Level 3, Section 5-4-1
• Tensioning Faults and Roll Patterns
BC Saw Filer Level 3, Sections 5-4-6 to 5-4-12
","Tensioning is the introduction of a controlled internal stress pattern in the saw plate to help the blade resist deflection, heat, and strain during high-speed cutting. Tensioning creates a tension ring—a stress-relieved zone typically located between the gullet and the back.
This skill is essential for band saw stability, tracking, and cut accuracy. A tensioned saw should open slightly under flex and return to its natural shape without dishing.","• Before beginning:
•	The saw must be fully leveled
•	You mark the tension radius and tire line using a back gauge and layout tool
o	Tire line = typically 1–1½"" below gullet and above back edge
• You assess existing tension using:
•	A tension gauge with light source and straightedge
•	Identify tight (convex) and open (concave) areas
•	Mark these zones for correction
📚 BC Saw Filer Level 1, Section 13-4-1
• You apply tension using:
•	A stretcher roll for uniform stress application
o	Roll direction and overlap carefully controlled
•	Or a tensioning hammer for local adjustments
o	Work inside tension ring radius only
o	Avoid hammering near welds or at the back
• Adjustments are made based on saw condition:
•	Tight spot: apply roll directly on the bump
•	Open spot: roll adjacent to allow metal to draw in
• You verify:
•	The tension ring is uniform and concentric
•	Tension is neither too deep nor shallow
•	The saw returns to shape when flexed and does not show ripples or bias
•	Final ring position aligns with wheel crown and strain system","Improper tensioning causes: • Flutter, snaking, and poor cut control
• Overheating, vibration, and gullet cracking
• Loss of kerf and dangerous saw failures
Correct tension gives the saw its strength, flexibility, and resistance to thermal distortion. It’s the signature of a skilled filer."
BS07,Band Saws,Operate and maintain saw shop equipment required for band saw maintenance ,"• Stretcher Roll Setup and Maintenance
BC Saw Filer Level 1, Section 5-3-5
• Leveling Slab and Hammer Bench Maintenance
BC Saw Filer Level 3, Section 5-2-8
• Tool Storage and Organization
BC Saw Filer Level 1, Section 5-1-6","Band saw maintenance depends on a wide range of specialized equipment including leveling anvils, stretcher rolls, tension gauges, grinders, lighting systems, and inspection slabs. Filers must not only know how to use this equipment—but how to inspect, clean, calibrate, and troubleshoot it.
If the tools are off, the saws will be off. This task is about ensuring precision, reliability, and safety across all shop equipment.","• Stretcher Roll:
•	Inspect crown radius (typically 10"" radius, or 6"" for thin-gauge saws)
•	Adjust table height and roll contact so the saw feeds flat, without side deflection
•	Check that rollers are concentric and lubricated
•	Clean swarf and oil build-up from guides and feed rollers
• Leveling Slab and Hammer Bench:
•	Confirm surface is nick-free and dead-flat
•	Use straightedge and flashlight to check for high spots
•	Clean after each use and avoid dropping tools on the surface
📚 BC Saw Filer Level 3, Section 5-2-8
• Inspection Tools (back gauge, drop tester, micrometers):
•	Clean lenses and measuring surfaces before and after use
•	Store in foam-lined cases
•	Verify calibration by testing against known reference saws
📚 BC Saw Filer Level 1, Section 5-2-1
• Lighting and Lift Systems:
•	Ensure band saw bench has proper overhead inspection lighting
•	Replace flickering or dim bulbs
•	Inspect lift assist systems (if used) for travel range, locking, and alignment
• Maintenance Tasks:
•	Check for worn belts, cracked grinding wheels, or loose guards
•	Lubricate all moving parts using recommended shop oils
•	Document findings and tag out any unsafe or out-of-spec equipment","Poorly maintained equipment causes: • Inaccurate tensioning and leveling
• Grinder chatter and out-of-round wheels
• Dropped or warped saws
• Lost time due to faulty tools or misdiagnosed issues
Well-maintained equipment produces consistent, high-performance saws—and ensures your safety and precision as a filer."
BS08,Band Saws,Display proper technique for flipping a band saw ,"• Flipping and Hand Change Instructions
BC Saw Filer Level 1, Sections 7-1-2 to 7-1-3
• Band Saw Handling Hazards
BC Saw Filer Level 1, Section 2-1-10","Flipping a band saw (changing its ""hand"") is necessary to prepare it for left- or right-hand cuts, depending on mill configuration. Due to the size, tension, and stored energy in band saws, flipping is a high-risk task that requires physical coordination, situational awareness, and teamwork.
Incorrect flipping can cause severe injury or deform the saw.
","• You inspect the saw:
•	Confirm whether it’s a right-hand or left-hand saw based on tooth direction
•	Plan the flip direction and clear space on all sides
• You follow saw size rules:
•	For saws up to 8” wide: flip can be done solo
•	For 9”–12” saws: two people required
•	For over 12”: four-person team minimum, plus overhead clearance
• You grip from the back side (opposite the teeth):
•	Stand square, knees slightly bent
•	Begin twisting the saw slowly away from your body
•	Maintain control of both arms and walk backward as you complete the rotation
• During the flip:
•	Watch that the saw doesn’t spring out or twist suddenly
•	Ensure teeth don’t strike the floor, bench, or nearby tools
•	Never attempt flip near grinders, racks, or walkways
• After flipping:
•	Inspect for bent teeth or twist
•	Place saw flat on the slab and confirm no back curve or tension distortion occurred
","Improper flipping can result in: • Lacerations or impact injuries from uncontrolled movement
• Cracked or distorted saw plates
• Lost time from damaged saws or injured filers
Correct flipping technique prevents injuries and protects the saw’s alignment and structural integrity."
BS09,Band Saws,Proper disposal of band saws ,"• Band Saw Disposal and Handling Rules
BC Saw Filer Level 1, Section 2-2-13
• Red Tag and Defect Removal Protocol
BC Saw Filer Level 1, Section 7-1-4","Band saws that are cracked, twisted, or worn beyond repair must be safely and permanently removed from service. Coiling saws for disposal is strictly prohibited due to the stored spring energy in the back. Proper disposal involves cutting the saw into short sections and depositing them in a designated metal scrap bin.
This procedure is essential for eliminating workplace hazards and preventing damaged saws from being mistakenly reused.","• You inspect the saw to confirm it's beyond service:
•	Multiple gullet cracks
•	Loss of back (overground or fractured)
•	Tension or leveling failure
•	Exceeded crack or twist limits based on mill policy or manufacturer tolerance
📚 BC Saw Filer Level 1, Section 2-2-1
• You mark the saw clearly:
•	Use a red tag or “SCRAP” label
•	Ensure it’s placed where all staff can see it
•	Log reason for disposal in shift record or defect log
• You cut the saw into safe segments:
•	Use cutting torch, shear,  or abrasive wheel
•	Cut into sections no longer than 3–4 feet
•	Segments must be fully detached—no loops or coiled ends
• You place segments in:
•	A steel scrap bin labeled for metal disposal
•	Never in garbage or storage areas
•	Never attempt to bundle or wire saws together for disposal","• Coiled saws can uncoil violently, causing:
•	Severe lacerations
•	Impact injuries
•	Fatal incidents if ejected or dropped
• Reintroduction of damaged saws into service causes:
•	Saw failure under speed
•	Production stoppage
•	Serious safety violations
Proper disposal ensures that unsafe tools are removed from circulation permanently, keeping the shop and your team safe."
BS10,Band Saws,Recognize and safely address hurt or wrecked band saws ,"• Wrecked Saw Identification
BC Saw Filer Level 1, Section 7-2-3
• Crack and Damage Removal from Service
BC Saw Filer Level 1, Sections 2-2-1 and 2-2-13","You are responsible for identifying saws that are no longer fit for service due to cracks, twist, gullet deformation, loss of back, or tracking damage. Hurt or wrecked saws must be immediately removed from rotation, tagged, and either repaired or scrapped based on defined safety limits.
This competency is about keeping unsafe blades off the machine line before they fail.
","• You inspect band saws using:
•	Straightedge, backlighting, and flashlight
•	Visual and tactile inspection along gullets, back, and welds
•	Dye penetrant if fine cracks are suspected
• You look for:
•	Cracks > ½” in 5–12” saws (usually beyond safe limit)
•	Twist that exceeds leveling ability
•	Loss of back (excessive grinding, cracks, or thinning)
•	Back stress lines or tension failure that cannot be reworked
• When a saw is identified as hurt:
•	You tag it out immediately
•	Use a red tag, “OUT OF SERVICE” label, or electronic system
•	Remove it from work area to prevent mix-up
• You notify your lead or mentor and record:
•	Type of damage
•	Location on saw
•	Proposed action: repair, bench and test, or scrap
• If repairable:
•	You follow welding, leveling, or tensioning steps before retesting
•	You only return saws to service after full inspection","Running a damaged saw causes: • Catastrophic blade failure under tension and heat
• Injury to operators or bystanders
• Collateral damage to guides, wheels, and feed components
• Wasted material and downtime
Early identification protects people, tools, and machines—and reinforces safety as a non-negotiable part of the filing trade."
BS11,Band Saws,Checking and maintaining straight edges and other tools ,"• Tool Maintenance and Cleaning
BC Saw Filer Level 1, Section 3-2-2
• Filing Room Procedures and Bench Care
BC Saw Filer Level 1, Section 2-1-10
• Tool Organization and Storage
BC Saw Filer Level 1, Section 5-1-6","Straightedges, micrometers, back gauges, and dial indicators are precision measurement tools used during leveling, tensioning, and inspection. Their reliability is critical. If a straightedge is warped, dirty, or damaged, every measurement you take will be flawed.
You are responsible for keeping all precision tools clean, damage-free, calibrated, and properly stored.","• Before and after every use:
•	Wipe down tools with a soft lint-free cloth
•	Remove all pitch, filings, or oil
•	Inspect edges for nicks, dents, or burrs
•	Never drag a straightedge across a saw plate or hard surface
• For micrometers, back gauges, and dial indicators:
•	Check zero reading before use
•	Avoid using if the tool has been dropped or exposed to heat
•	Lightly oil the spindle or pivot points (where applicable)
• Storage:
•	Place tools in foam-lined drawers or protective sleeves
•	Never store measuring tools with hammers or striking tools
•	Return tools to proper location after each task—not just end-of-shift
• Report and tag out any:
•	Tool that gives inconsistent readings
•	Tool with visible edge damage
•	Tool that is suspected to be out of spec","Precision tools that are dirty, damaged, or misused lead to: • False tension or leveling results
• Inaccurate gullet measurements
• Unnecessary rework or rejected saws
• Saw performance issues that originate from faulty measurements
Tool care is part of saw care—precision tools are the foundation of all filing work."
BS12,Band Saws,Calibration of back gage ,"• Back Gage Use and Maintenance
BC Saw Filer Level 1, Section 5-2-1
• Precision Tool Care
BC Saw Filer Level 1, Section 3-2-2
• Filing Room Tool Organization
BC Saw Filer Level 1, Section 5-1-6","The back gauge (also called back gage) is a specialized inspection tool used to detect saw back curve, tire line, and tension ring shape. You must ensure this tool is accurate, undamaged, and properly zeroed every time it's used.
Calibration ensures that readings are trustworthy—even a 0.002"" deviation in reading can result in a tensioning error.","• Before each use:
•	Visually inspect for bent tips, loose fasteners, or surface damage
•	Ensure indicator reads zero when placed on a certified flat surface
•	If not, re-zero or reset the dial indicator
• During calibration:
•	Compare back gage readings to a reference straightedge or certified master saw
•	Confirm that all moving parts glide smoothly and do not bind or rock
• After use:
•	Wipe tool clean and store in its protective foam case
•	Do not drop, strike, or leave the gage exposed to grinder dust
• If dropped or damaged:
•	Tag out the tool immediately
•	Notify shop lead or mentor
•	Do not attempt to recalibrate without approval or training","Back gage calibration affects: • Accuracy of tension verification
• Tire line positioning
• Overall flatness and balance of saws
Using a miscalibrated tool introduces false tension zones, leading to vibration, overheating, and tracking failure. The tool is only as reliable as its calibration."
BS13,Band Saws,"Handling, storage and transportation of band saws ","• Handling and Transportation Rules
BC Saw Filer Level 1, Section 7-1-3
• Filing Room Safety and PPE
BC Saw Filer Level 1, Section 2-1-10
• Saw Storage Practices
BC Saw Filer Level 1, Section 7-1-4","Band saws are large, heavy, and under tension—even when out of service. They must be handled with strict attention to safety, stored to prevent distortion, and transported using approved carts, racks, or lifting equipment.
Poor handling leads to bent backs, twisted plates, damaged teeth, and serious personal injury.
","• When moving band saws:
•	Wear steel-toe boots and cut-resistant gloves
•	Always lift from the back side, away from the teeth
•	Use team lifting or mechanical assistance for wide saws (10”+)
• Never:
•	Flip saws near racks or machines
•	Carry saws horizontally over cluttered or uneven floors
•	Coil a saw without proper tooling and clearance
• For storage:
•	Hang saws by designated saw hooks or padded racks
•	Never store flat on concrete or stack saws
•	Ensure hanging saws are protected from contact or crowding
• For transport:
•	Secure saws in designated crates, carts, or vertical racks
•	Label saws “for service” or “scrap” to prevent mix-ups
• Report any saws that:
•	Have bent backs, collapsed kerf, or unmarked damage
•	Were dropped, flipped improperly, or dragged","Poor handling and storage causes: • Permanent saw damage
• Increased risk of failure during use
• Tooth fractures, twist, and crack propagation
• Severe injuries from saw spring-back or unexpected movement
Safe handling protects both personnel and high-value saws—and reinforces a professional filing room standard."
MMS01,Mill Machine Set-Up,"Set-up and align head rig (incl. strain, guide pressure, crossline) ","• Headrig Setup Principles
BC Saw Filer Level 3, Sections 6-2-1 to 6-2-2
• Guide Pressure and Strain Setup
BC Saw Filer Level 3, Sections 6-5-4 to 6-5-8","The headrig is the primary saw assembly that cuts logs into cants and flitches. Accurate setup ensures:
•        The saw runs straight on the cut line
•        The strain system compensates for heat and feed stress
•        The guides apply consistent pressure
•        The saw stays centered on the true sawing axis (crossline)
As a filer, you must align all mechanical and structural systems—including wheels, guides, and strain—in accordance with mill specs and geometric tolerances.
","• Pre-alignment checks:
•	Verify foundation is stable (no broken welds, cracked bases, or missing bolts)
•	Remove saw, guides, scrapers, and debris from the alignment path
• Level the top wheel:
•	Place a machinist’s level across wheel face or hub
•	Use shims or adjustment bolts to eliminate tilt
•	Confirm wheel is level in both horizontal and vertical planes
• Crossline alignment:
•	Use plumb bob, centering bar, and three-point triangulation
•	Measure between front/back guide mounting holes to ensure parallel saw travel
•	Adjust guides and wheels until measurements are square and equal (A=B and C=D)
• Strain system:
•	Verify strain rods or hydraulic actuators apply force evenly
•	Set according to saw size, species, and feed pressure specs
•	Observe strain line drop using tire line inspection (e.g. 1"" to 1½"" below gullet)
• Guide pressure:
•	Install guides and test contact using the guide pressure pin method
•	Confirm all bolts apply equal compression
•	Ensure guide face and saw body are clean and lubricated","Incorrect headrig setup leads to: • Saw snaking or dishing under feed load
• Inconsistent lumber thickness and cant taper
• Excessive guide and bearing wear
• Higher operating temperatures and tension collapse
A precisely aligned headrig produces straight cuts, stable saw tracking, and consistent lumber dimensions."
MMS02,Mill Machine Set-Up,Set-up circular gang saws (incl. arbor runout and wear) ,"📚 References:
• Circular Gang Setup and Arbor Inspection
BC Saw Filer Level 2, Sections 11-3-7 to 11-3-30","Gang saws consist of multiple circular saws mounted on a common arbor, used for high-speed ripping. Proper setup requires:
•	Arbor inspection
•	Runout measurement
•	Accurate collar and key seating
•	Alignment of all blades in the cut path
This ensures each saw cuts parallel, without wobble or tracking errors under full feed speed.","• Inspect arbor system:
•	Clean arbor and check for wear or scoring
•	For keyed or splined systems:
o	Measure groove and key depth
o	Replace sleeves or arbor if wear exceeds manufacturer limits
• Check arbor runout:
•	Mount a dial indicator to a fixed base
•	Zero the gauge on the arbor face or shaft
•	Rotate the arbor slowly and record total indicator runout (TIR)
o	Acceptable runout is typically <0.002""
• Inspect collars and keys:
•	Collars must be clean, flat, and free of dents
•	Keys must seat snugly without slop
•	Collars should clamp saws squarely and evenly
• Install saws:
•	Slide each blade onto the arbor, aligned with spacers or bushings
•	Check that all saws are parallel and evenly spaced
•	Tighten collar bolts to torque spec using a calibrated wrench
•	Rotate the arbor and check for:
o	Tooth path runout
o	Plate wobble or vibration
• For shifting edgers or gangs with setworks:
•	Inspect rails, bushings, and slides for smooth operation
•	Lubricate moving parts and check for misalignment or jamming","Incorrect gang saw setup causes: • Wavy cuts and board variation
• Saw wobble, heat buildup, and stress cracking
• Premature saw failure due to arbor misalignment
• Excess vibration → damage to guides, arbors, collars, and bearings
A precise gang setup maximizes cutting efficiency and saw life—especially under high-volume ripping conditions."
